ikj,1024,12,guided,16,1,0.039850,0.281250,53888.91,0.5881
ikj,1024,12,guided,16,2,0.041133,0.484375,52208.93,0.9813
ikj,1024,12,guided,16,3,0.041224,0.343750,52092.66,0.6949
ikj,1024,12,guided,16,4,0.042365,0.312500,50689.92,0.6147
ijk,1024,6,static,16,0,0.891143,4.968750,2409.81,0.9293
ijk,1024,6,static,16,1,0.868401,4.968750,2472.92,0.9536
ijk,1024,6,static,16,2,0.874028,5.000000,2457.00,0.9534
ijk,1024,6,static,16,3,0.878775,5.109375,2443.72,0.9690
ijk,1024,6,static,16,4,0.899296,4.984375,2387.96,0.9238
ikj,1024,6,static,16,0,0.040001,0.218750,53685.75,0.9114
ikj,1024,6,static,16,1,0.043359,0.187500,49527.41,0.7207
ikj,1024,6,static,16,2,0.042461,0.234375,50575.56,0.9200
ikj,1024,6,static,16,3,0.035884,0.203125,59844.82,0.9434
ikj,1024,6,static,16,4,0.052515,0.203125,40892.61,0.6447
ijk,1024,12,static,1,0,0.448651,4.578125,4786.53,0.8503
ijk,1024,12,static,1,1,0.445087,4.531250,4824.86,0.8484
ijk,1024,12,static,1,2,0.451873,4.328125,4752.41,0.7982
ijk,1024,12,static,1,3,0.465011,4.562500,4618.14,0.8176
ijk,1024,12,static,1,4,0.463305,4.687500,4635.14,0.8431
ikj,1024,12,static,1,0,0.046235,0.500000,46446.94,0.9012
ikj,1024,12,static,1,1,0.045846,0.531250,46841.35,0.9656
ikj,1024,12,static,1,2,0.045416,0.546875,47285.15,1.0035
ikj,1024,12,static,1,3,0.045521,0.484375,47175.36,0.8867
ikj,1024,12,static,1,4,0.052389,0.406250,40991.27,0.6462
ijk,1024,12,dynamic,64,0,0.660235,4.453125,3252.60,0.5621
ijk,1024,12,dynamic,64,1,0.595095,4.375000,3608.64,0.6126
ijk,1024,12,dynamic,64,2,0.607483,4.390625,3535.05,0.6023
ijk,1024,12,dynamic,64,3,0.585401,4.312500,3668.40,0.6139
ijk,1024,12,dynamic,64,4,0.607140,4.156250,3537.05,0.5705
ikj,1024,12,dynamic,64,0,0.041091,0.437500,52261.53,0.8873
ikj,1024,12,dynamic,64,1,0.046452,0.406250,46230.07,0.7288
ikj,1024,12,dynamic,64,2,0.044077,0.281250,48720.63,0.5317
ikj,1024,12,dynamic,64,3,0.040595,0.265625,52900.46,0.5453
ikj,1024,12,dynamic,64,4,0.041331,0.406250,51958.56,0.8191
ijk,1024,12,static,16,0,0.453068,4.375000,4739.87,0.8047
ijk,1024,12,static,16,1,0.528036,4.484375,4066.93,0.7077
ijk,1024,12,static,16,2,0.452911,4.484375,4741.51,0.8251
ijk,1024,12,static,16,3,0.457344,4.453125,4695.55,0.8114
ijk,1024,12,static,16,4,0.474968,4.375000,4521.32,0.7676
ikj,1024,12,static,16,0,0.039617,0.359375,54205.43,0.7559
ikj,1024,12,static,16,1,0.044568,0.421875,48184.54,0.7888
ikj,1024,12,static,16,2,0.038967,0.406250,55110.17,0.8688
ikj,1024,12,static,16,3,0.039663,0.343750,54142.98,0.7222
ikj,1024,12,static,16,4,0.041829,0.375000,51339.10,0.7471
ijk,1024,6,guided,0,0,0.769092,4.578125,2792.23,0.9921
ijk,1024,6,guided,0,1,0.785659,4.578125,2733.35,0.9712
ijk,1024,6,guided,0,2,0.777971,4.562500,2760.36,0.9774
ijk,1024,6,guided,0,3,0.791763,4.531250,2712.28,0.9538
ijk,1024,6,guided,0,4,0.768093,4.515625,2795.86,0.9798
ikj,1024,6,guided,0,0,0.046838,0.281250,45849.66,1.0008
ikj,1024,6,guided,0,1,0.036655,0.187500,58587.02,0.8526
ikj,1024,6,guided,0,2,0.041201,0.281250,52121.87,1.1377
ikj,1024,6,guided,0,3,0.037262,0.171875,57632.16,0.7688
ikj,1024,6,guided,0,4,0.037981,0.281250,56541.59,1.2342
ijk,1024,12,dynamic,1,0,0.450383,4.671875,4768.13,0.8644
ijk,1024,12,dynamic,1,1,0.507987,4.671875,4227.44,0.7664
ijk,1024,12,dynamic,1,2,0.498720,4.406250,4305.99,0.7363
ijk,1024,12,dynamic,1,3,0.480512,4.796875,4469.15,0.8319
ijk,1024,12,dynamic,1,4,0.448822,4.578125,4784.72,0.8500
ikj,1024,12,dynamic,1,0,0.055683,0.468750,38566.10,0.7015
ikj,1024,12,dynamic,1,1,0.055649,0.578125,38589.80,0.8657
ikj,1024,12,dynamic,1,2,0.053861,0.468750,39871.14,0.7253
ikj,1024,12,dynamic,1,3,0.053908,0.609375,39836.08,0.9420
ikj,1024,12,dynamic,1,4,0.055092,0.468750,38979.81,0.7090
ijk,1024,6,static,1,0,0.828405,4.859375,2592.31,0.9777
ijk,1024,6,static,1,1,0.831685,4.906250,2582.09,0.9832
ijk,1024,6,static,1,2,0.844384,4.906250,2543.25,0.9684
ijk,1024,6,static,1,3,0.830390,4.875000,2586.11,0.9785
ijk,1024,6,static,1,4,0.832916,4.937500,2578.27,0.9880
ikj,1024,6,static,1,0,0.052706,0.250000,40744.58,0.7905
ikj,1024,6,static,1,1,0.059066,0.250000,36357.36,0.7054
ikj,1024,6,static,1,2,0.045646,0.234375,47047.00,0.8558
ikj,1024,6,static,1,3,0.063685,0.312500,33720.61,0.8178
ikj,1024,6,static,1,4,0.057043,0.296875,37647.02,0.8674
ijk,1024,6,dynamic,64,0,0.950766,5.046875,2258.69,0.8847
ijk,1024,6,dynamic,64,1,0.944856,5.031250,2272.82,0.8875
ijk,1024,6,dynamic,64,2,0.956361,4.953125,2245.47,0.8632
ijk,1024,6,dynamic,64,3,0.950677,4.953125,2258.90,0.8684
ijk,1024,6,dynamic,64,4,0.951481,5.015625,2256.99,0.8786
